iyear,imonth,iday,provstate,city,latitude,longitude,location,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,target1,gname,nkill,nwound,scite1
2009,12,28,Sindh,Karachi,24.893379,67.028061,Along Muhammad Ali Jinnah Road in Karachi,3,Bombing/Explosion,,,The Shia religious procession,Tehrik-i-Taliban Pakistan (TTP),45,100,"Jane�s Intelligence, �Suicide Attack Kills 33 in Pakistan's Karachi,� Terrorism Watch Report, December 29, 2009."
2010,7,1,Punjab,Lahore,31.554606,74.357158,At the popular Data Darbar shrine in Lahore.,3,Bombing/Explosion,,,The Data Darbar shrine was targeted in the bombing.,Unknown,44,175,"BBC Monitoring South Asia, ""Deadly Blasts Hit Sufi Shrine in Lahore,"" BBC Monitoring South Asia, July 1, 2010, http://news.bbc.co.uk/2/hi/world/south_asia/10483453.stm."
2013,9,29,Khyber Pakhtunkhwa,Peshawar,34.00372,71.544288,,3,Bombing/Explosion,,,Bazaar,Unknown,43,101,"""Pakistan's Terror Capital: Inside Peshawar, a City Under Siege,"" Time, October 2, 2013."
2010,4,17,Khyber Pakhtunkhwa,Kohat,33.583401,71.433219,"In Kacha Pukka area of Kohat district, North West Frontier Province, Pakistan.",3,Bombing/Explosion,,,Displaced Shia Muslims,Lashkar-e-Jhangvi,43,64,"Jane�s Intelligence, �Suicide Bombers Kill Forty Four in Pakistan's Kohat,� Terrorism Watch Report, April 19, 2010."
2008,3,2,Federally Administered Tribal Areas,Darra Adam Khel,33.694214,71.496152,,3,Bombing/Explosion,,,Meeting of tribal elders meeting in Northwest Frontier Province,Unknown,43,,"Ali Yousaf, �Pakistan: Teenage Suicide Bomber Attacks Tribal Assembly, 42 Killed,� OSC Feature - The News, March 03, 2008."
2015,9,18,Khyber Pakhtunkhwa,Badaber,33.957536,71.573933,,3,Bombing/Explosion,,,Badaber Base,Tehrik-i-Taliban Pakistan (TTP),42,22,"""Taliban Gunmen Kill 29 In Pakistan Air Force Base Attack,"" AFP (World Service), September 18, 2015."
2009,10,9,North-West Frontier Province,Peshawar,34.009667,71.579994,,3,Bombing/Explosion,,,The target of the attack was a market and civilians.,Unknown,42,100,"Agence France Presse, ""'Powerful' Explosion in Shopping Area in Pakistan's Peshawar City,"" World News Connection, Agence France Presse, October 09, 2009."
2010,8,23,Federally Administered Tribal Areas,Wana,32.304722,69.570278,"The bombing occured near the Mulana Noor Muhammad mosque in the Wana area of Waziristan, Federally Administered Tribal Areas, Pakistan.",3,Bombing/Explosion,,,The Mulana Noor Muhammad Mosque,Unknown,41,30,"Press TV, ""Deadly Blast Kills 24 in NW Pakistan,"" http://www.presstv.ir/detail/139811.html (August 24, 2010)."
2004,10,7,Punjab,Multan,30.197843,71.467629,,3,Bombing/Explosion,,,Rasheedabad Square in Multan,Sipah-I-Mohammed,41,100,"�Car bomb kills 41 at Pakistani prayer vigil,� Agence France Presse, October 7, 2004."
2012,2,17,Federally Administered Tribal Areas,Parachinar,33.899167,70.100833,"Attack occurred in Kurmi Bazaar in Parachinar, Kurram Tribal Region, Federally Administered Tribal Regions, Pakistan",3,Bombing/Explosion,,,Civilians,Tehrik-e-Taliban Islami (TTI),40,64,"""FACTBOX-Security developments in Pakistan, Feb 18,"" Reuters News, February 18, 2012."
